1,A13FT8BNX9UUP8.csv,There is a room where the drapes are open so natural sunlight enters the room. There is a brown leather couch with folded clothes and a pillow on it. There are potted plants along the side of the room in front of the windows. There is a wooden table with a laptop on it; a lamp; binder; remote and newspaper on it.,laptop,plants,binder and newspaper,pillow and window,folded clothes,hanging potted plant,window with car view,,,
1,A175PJR0W3LO8I.csv,Living room of a suburban home with large windows at the corner facing out to a street with parked cars and lush trees.  There are small palnts placed along the window sill.  A brown leather loveseat with dirty clothes is placed in front of a coffee table with two white unlit candles.  There is a laptop and a mouse along with a few documents on the coffee table; indicating perhaps that this is also a home-office.,a laptop and a mouse,small decorative houseplants and a lamp placed along a windowsill,a binder and some color documentsq,some thin curtains along a window with a parked car  in the background,some folded clothes on a brown leather sofa,a hanging plant,a parked car seen from inside a window,,,
1,A1HUUSCZ4I5SOP.csv,A room with a tan; leather sofa. There is a wall of windows with white curtains. There's a brown desk with a laptop on it. There are two crystal candle holders with two candles on the desk. There are some potted plants on top of ledge by the window. Outside the window; you can see another house and cars parked.,black laptop,potted plants on shelf,newspapers on desk,corner of sofa with white pillow, potted plants on window ledge,pile of clothes on sofa, pillow next to clothes,potted plant hanging from ceiling,car parked outside ,,,
1,A1S88VQY8G8CNC.csv,a lap top computer is on a table in what could either be a den or a living room. a desk calendar; as well as a lamp and newspapers are also on the table. there are no people on the scene; but there is a leather love seat which has a pillow on it and some items of clothes.  there are a number of large windows; as well as plants on a shelf.,lap top computer on a table/desk.,large window with lamp and plants.,newspapers and desk calendar on the desk.,left side of love seat, near window.,most of the love seat is visible, along with articles of clothing and pillow.,overhead plant.,window looks out on trees and car.,,,
1,A2JLU8XYHVY2ZP.csv,The living room in the house having appliances and decorative plants in it. The laptop is on the table. The car is standing outside is visible through the glass door.,Laptop is on the table,plants are arranged in a manner,News paper is on the table,A pillow is on the sofa,some cloths on the sofa,a plant is in the hanging pot,Car is visible through glass door,,,
1,A3QMAS3KVQTPW0.csv,A Drawing room with Laptop and newspapers on the table and some cloths on the sofa. Cars are parked outside the room. ,laptop with mouse,Small plants in the house,Newspapers on the table,White pillow on the sofa,Cloths on the sofa,hanging plants,Car outside the room,,,
1,A3UV55HC87DO9C.csv,This is a living room of a home. Theres a brown couch; a lamp; some candles and a laptop on a small coffee table.,laptop,plants,literature,window,couch,hanging plant,car,,,
1,A3VOMP0WOJTB4I.csv,There is a laptop kept in the sitting room. There is a sofa set visible.,laptop,glass,table,curtain,sofa,plant,window,,,
1,AA7BTDZQNHW5.csv,A beautiful living room with sofa; flower vases; laptop and other items,laptop,flower vases,newspaper,curtain,sofa,hanging leaves,window,,,
1,ADVZAZ12Z8N9J.csv,THIS IS A IMAGE OF A LIVING ROOM. THERE IS A TWO SEAT LEATHER CHAIR; AS WELL AS A WOODEN DESK. THE DESK HAS SEVERAL NEWSPAPERS; AS WELL AS A OPEN BLACK LAPTOP ON IT. ,LAPTOP,PLANTS,NEWSPAPERS,WINDOW,CLOTHES,PLANTS,CURTAINS,N/A,N/A,N/A2,A13FT8BNX9UUP8.csv,There are two workers in blue discussing something in a booklet.There seems to be construction trucks lined up in the room they are in. There is a low ceiling with rectangle lights.,shoulder,arm,name,head,communication device,booklet,name ,head,arm ,should
2,A175PJR0W3LO8I.csv,a man named Gomez wearing blue uniform and some sort of manual in hand; explaining something to a short haired brown woman in a similar uniform.  There are vehicles parked in the background of what looks like a factory or the inside of an aircraft carrier.,man's shoulder,man's arm,man's shirt with name \GOMEZ\,man's face with earplug,man and woman's shoulders,man pointing at documents,woman's shirt with name ,woman's face,woman's chest,woman's shoulder with vehicle in the background.
2,A1HUUSCZ4I5SOP.csv,A man and woman in blue uniforms are looking at a book. They are in a warehouse. There are heavy operating machines in the background. The man is wearing an earbud and is pointing at something in the book. He's also wearing a 2-way radio.,part of shoulder,tatooed forearm,Gomez name on uniform,man's face with earbud,radio on uniform,finger pointing at book,part of uniform on chest and arm,woman's head,part of woman's body and arm,part of shoulder
2,A1S88VQY8G8CNC.csv,a male factory worker is pointing out something in a manual to a younger female employee.  both are dressed in factory uniforms.  in the background; we can see equipment and a large vehicle which looks like a truck.  many beams are attached to the ceiling; which is not much higher than the employees.,man's shoulder and some equipment.,man's arm.,a portion of man's shirt.,man's face looking downward.,portions of both employees' arms.,pointing out something in a manual.,half of a work uniform.,young employee looking downward.,part of work shirt, with vehicle's wheel behind.,equipment behind employee's shoulder.
2,A2JLU8XYHVY2ZP.csv,The supervisor in the factory teaches the new girl regarding company guidelines,the man's soulder,the man's hand,company name is printed,man's face,the pager,the man holding the book,the girl's right shoulder,the girl's face,girl's left shoulder,manufactured machine parts
2,A3QMAS3KVQTPW0.csv,A Senior male colleague explaining the junior lady staff,Male shoulder,Male hand with tatto,Man Shirt with the company logo ,man face with earphones in ear,walkie talkie,a book,Women Shirt with a company logo on left side,A women deeply involved in the discussion,Women Shirt with a company logo on right side,women shoulder
2,A3UV55HC87DO9C.csv,There are two men in what looks to be an apprentice situation. The older man is going over some paperwork with the younger man.,shoulder,tattoo,name badge,older man,two way radio,paperwork,name badge of young man,young man,left arm,shoulder of young man
2,A3VOMP0WOJTB4I.csv,The senior engineer is explaining the work to his junior engineer in a factory.,tools,hand,uniform,face,sleeve,report,label,woman,right hand,machines
2,AA7BTDZQNHW5.csv,A man is explaining to a boy in a vehicle workshop with a book.,right shoulder,right hand,right chest,man's head,two shoulders,book,boy's right hand,boy's head,boy's left hand,left shoulder
2,ADVZAZ12Z8N9J.csv,THIS IMAGE IS OF TWO MEN THAT SEEM TO BE WORKING ON A VEHICLE. THE FIRST GUY NAMED GOMEZ IS SHOWING THE GUY SOMETHING IN THE MANUAL. ,SHOULDER,ARM,NAME,EARPHONES,NAMETAG,BOOK,SHIRT,HAIR,CUFF,MACHINE3,A13FT8BNX9UUP8.csv,There is a Caucasian female dressed in black with long hair. She has her finger to her mouth and looks like she is thinking about something. ,shirt sleeve,arm,wrist,?,hand,shirt,eyes and nose,finger and mouth,chin and lip,shirt design
3,A175PJR0W3LO8I.csv,a young and attractive brown haired woman wearing a long sleeved black pullover; seated and perhaps watching TV; with right hand index finger on her lips; to indicate interest.,woman's right arm,womans wrist and hair,woman's wrist and hair,woman's shoulder,woman's right hand,woman's chest,woman's eyes,woman's face,woman's lips and chin,woman's pullover decoration
3,A1HUUSCZ4I5SOP.csv,A woman wearing a black shirt has her hand touching her lips.,part of shirt,part of arm with her hair behind,wrist,part of wrist and shirt,hand,part of shirt,eyes, nose and part of hand,part of face below eyes and fingers,part of lips, ear, neck and hair,part of shirt
3,A1S88VQY8G8CNC.csv,a woman is in deep thought.  she has a finger on her lip as she looks upward.  she is wearing a black outfit.  a wall; and possibly a window curtain; is behind her.,woman's shoulder.,part of woman's arm, hair.,woman's arm and part of her hand.,part of woman's black outfit.,woman's hand, fingers.,part of woman's outfit.,woman's eyes, nose.,woman's nose; finger on lip.,woman's cheek, hair.,part of woman's outfit.
3,A2JLU8XYHVY2ZP.csv,The girls is thinking over her future with biting his finger,girl's dress,girl's hand,girl's wrist,girl's shoulder,girl's hand,girl's upper breast portion,girl's eyes,girl's nose,girl's lips,embroydery design
3,A3QMAS3KVQTPW0.csv,A black dressed women; deeply involved in observation.,women black dress left hand ,girls hand,girls wist,black dress covering her chest,girls fingers and palm,black dress covering her chest,Girls eyes and nose,cute lips with finger on foreground,girls cheeks,black dress with desings covering her chest
3,A3UV55HC87DO9C.csv,A young women is laying down. She is long brown hair. She is staring into space; probably daydreaming or imagining something that excites her.,arm,wrist,hand,shoulder,hand,shirt,eyes,mouth and nose,jaw,shirt
3,A3VOMP0WOJTB4I.csv,A woman is sitting thinking deeply.,sleeve,hand,skin,dress,nails,neck,eyes,lips,cheeks,design
3,AA7BTDZQNHW5.csv,A blonde woman with index finger in her lips ,right hand,blonde hair,right hand,black dress,right hand fingers,black dress,woman's eyes,woman's ear,woman's lips,netted dress
3,ADVZAZ12Z8N9J.csv,THIS IMAGE IS OF A WOMAN WATCHING SOMETHING INTENTLY. ,CUTOUTS,HAIR,WRIST,HAIR,FINGRS,DARK,EYES,MOUTH,CHIN,CUTOUTS4,A13FT8BNX9UUP8.csv,There is a woman in a grocery store near packaged produce. The produce is lined up on different shelves. The woman has a red basket and is reach for the packaged grapes.,packaged vegetable,basket,packaged fruits,packaged produce,side of basket,woman's head,packaged grapes,packaged grapes,packaged green grapes,packaged grapes
4,A175PJR0W3LO8I.csv,a blonder woman wearing glasses and a black coat; shopping in the produce section of a supermarket.  she is reaching out for some packaged grapes; and is about to put it into her red shopping cart; seen in the foreground.,various produce,red shopping card with vegetable,various produce such as apples,various produce such as apples,woman's coat,woman's face,various produce,various produce such as grapes,various produce such as grapes,various produce such as grapes
4,A1HUUSCZ4I5SOP.csv,A blond woman is grabbing a package of green and red grape from a supermarket shelf. She is wearing a black coat and glasses. There's a red cart next to her. The shelves are full of packages with fruits and vegetables. There's a bag of vegetables inside the cart.,shelf with prepackaged vegetables,part of shopping cart with bag of vegetable,part of woman's shoulder and back, packages of fruits,shelf with packages of fruits and vegetables,part of woman's coat and shopping cart,head and shoulders,packaged fruits, part of head,hand, packages of grapes,package of green grapes,packages of green and red grapes
4,A1S88VQY8G8CNC.csv,a woman is picking some grapes from a shelf in a market.  she is wearing a black outfit; has dirty blonde hair and is wearing glasses.  there is a red shopping cart next to her with some vegetables in it.  there are many fruits and vegetables on nearby shelves.,vegetables on store shelves.,shopping cart with items in it.,food items behind the woman.,packaged food on store shelf.,woman's jacket near her cart.,woman gets ready to take item from shelf.,packaged fruit on shelves.,woman's hand on package of grapes.,package of grapes on shelf.,a few packages of grapes on shelves.
4,A2JLU8XYHVY2ZP.csv,the woman purchasing fruits in the free margin shop,fruits in the rack,trolley,apple fruit,packed fruits,woman's body,woman's face,grape fruit,woman holding the fruit,packed grape,various fruits
4,A3QMAS3KVQTPW0.csv,Supermarket with fruits and women choosing one of them.,fruits in supermarket,trolley,Apples and other fruits,fruits in supermarket,Women's black dress,women choosing a fruit basket,grapes ,grapes both green and black,green grapes,grapes both green and black
4,A3UV55HC87DO9C.csv,An older woman is shopping at a grocery store. SHe is currently in the aisle with packaged fruit and vegetables. ,packaged vegetables ,shopping  cart,packaged fruit,more packaged goods,shirt,woman's head,more packaged goods,even more packaged goods,grapes,green and purple grapes
4,A3VOMP0WOJTB4I.csv,A woman is picking up fruits from a grocery store.,fruits,tray,apple,bags,woman,face,hand,bag,grapes,shelf
4,AA7BTDZQNHW5.csv,A woman is purchasing fruits in a fruit shop with a trolley.,rack,trolley,red and green apples,red and green apples,woman's body,woman's head,grapes,woman's hand,green grapes,green and purple grapes
4,ADVZAZ12Z8N9J.csv,A LADY IS LOOKING AT A SELECTION OF GRAPES THAT ARE N A SUPERMARKET. SHE ALREADY HAS A RED CART FILLED WITH VARIOUS PRODUCE ITEMS. ,GRAPES,CART,GRAPES,GRAPES,SHIRT,HAIR,RED GRAPES,GREEN GRAPES,RED GRAPES,GREEN GRAPES5,A13FT8BNX9UUP8.csv,There is a Caucasian man with glasses and a ring on his finger looking unhappy. He has green eyes and a white shirt on.,shaved beard,side of face,chin and neck,left eye covered with glasses,lips,nose,arm/wrist,right eye with glasses,finger with ring,forehead
5,A175PJR0W3LO8I.csv,a brown haired man wearing glasses; perhaps in his late 20s to early 30s; wearing a white t-shirt; wedding band; contemplating something as he has his hand on his face.,man's chin,man's ear,man's chin,man's right eye,man's lips,man's nose,man's hand,man's left eye,man's weddig band,man's head
5,A1HUUSCZ4I5SOP.csv,A blond man; wearing glasses and a ring resting his face on his hand. He is wearing a white shirt and has a little bit of stubble.,part of shirt, neck and jaw,part of cheek, ear and shirt,part of shirt, neck and jaw,eye and half of glasses,lips, part of finger,nose,part of hand,eye with half of glasses, fingertip,fingers, ring,part of forehead, hair and glasses
5,A1S88VQY8G8CNC.csv,a man wearing glasses looks very frustrated.  he has his hand to his face and fingers  near an eye.  he is wearing what looks to be a white tee-shirt.  he is wearing a ring on a finger.  his eyes appear to be blue.,part of man's face and shirt.,part of man's face, and shirt.,part of man's face, and chin.,one of man's eyes looks outward.,man's fingers touch his lip.,man's nose and part of his face.,fingers reaching up to his face.,one of man's pensive looking eyes.,man's fingers touching his face.,part of man's forehead.
5,A2JLU8XYHVY2ZP.csv,The man is looking sad and starring somewhere,The Man's chin,The Man's ear,The Man's neck,The Man's right eye,The Man's lip,The Man's nose,The Man's hand,The Man's left eye,The Man's finger,The Man's forehead
5,A3QMAS3KVQTPW0.csv,middle aged men deeply involved.,cheeks of the men,cheeks and ears of the men,slight bread,Specticles,lips of the man,Nose of the man,hand,spectacles of right side,fingers of men,forehead of the men
5,A3UV55HC87DO9C.csv,A man wearing glasses is staring directly into the camera. He looks to be deep in thought.,jaw,ear,jaw,eye,mouth,nose,hand,other eye,ring,face
5,A3VOMP0WOJTB4I.csv,A man is sad and frustrated.,beard,ears,chin,glasses,lips,nose,hand,fingers,ring,head
5,AA7BTDZQNHW5.csv,A man with spectacles in his face and a small rounded ring in his left ring finger.,man's neck,man's ear,man's cheek,man's right eye,man's lips,man's nose,man's left hand,man's left eye,small rounded ring,man's left temple
5,ADVZAZ12Z8N9J.csv,THIS IS A IMAGE OF A MAN HAVING A SORT OF CONCERNED LOOK ON HIS FACE. HE HAS ON A WHITE SHIRT; SOME GLASSES; AND A BIT OF FACIAL STUBBLE. ,BEARD,EAR,NECK,GLASSES,MOUTH,NOSE ,FINGER,EYE,RING,FOREHEAD6,A13FT8BNX9UUP8.csv,There is an unhappy person outside leaning against a wooden gate or door. The person has their arms folded. They have a hoodie on over a blue jean shirt.,arm,top of wooden door/gate,shoulder,chest,head,wrist,fingers,folded arm outside,sky,dry land and plants
6,A175PJR0W3LO8I.csv,a curly haired middle aged woman standing outside on cloudy day; perhaps by a wooden door; with arms crossed.,woman's chest,wooden door,woman's shoulder,woman's chest,woman's face,woman's crossed arms,woman's hand,background scenery of dried grass and fields,cloudy sky,background scenery of dried grass and fields
6,A1HUUSCZ4I5SOP.csv,Woman with short hair has armed crossed standing in front of a wooden item. SHe's wearing a gray hoodie and blue shirt. She's wearing a watch. ,part of wood and arm,top of wooden item and sky,wooden item and shoulder,part of hoodie and shirt,face,hoodie and part of arm, watch and hand,arm and hand,field, part of arm and hand,sky,dirt and shrubs
6,A1S88VQY8G8CNC.csv,an elderly woman wearing a blue jacket leans against what appears to be a fence.  she is outside; in what looks like a rural area.  there is a lawn with trees nearby; the sky is a light blue.,woman's jacket.,part of a fence.,woman's jacket leans against a fence.,part of woman's jacket covering her shirt.,woman's serious face.,part of woman's jacket and arm.,part of woman's jacket; fingers.,trees, lawn, part of woman's jacket.,blue sky.,lawn and trees.
6,A2JLU8XYHVY2ZP.csv,the woman is standing alone in the dry area and posing the camera,the woman's hand,wooden piece,the woman's right shoulder,the woman's upper chest portion,the woman's face,the woman's breast,the woman's left shoulder,the road,the sky,the plant
6,A3QMAS3KVQTPW0.csv,A man with winter jacket.,old wood sheet and man shoulder,old wood sheet and sky view in the background,man shoulder,winter jacket,man face,folded hands,folded hands,shoulder with abandon area in the background,abandoned area,
6,A3UV55HC87DO9C.csv,An older woman is standing against a wooden fence. She is wearing a grey sweatshirt. The day looks very cloudy.,sweatshirt,fence,shoulder,neck,face,hands,hands,hands,background field ,very far field
6,A3VOMP0WOJTB4I.csv,A woman is standing and observing.,sleeve,wood,hand,jacket,face,hands,fingers,fold,clouds,trees
6,AA7BTDZQNHW5.csv,An old man is wearing sweatshirt and standing in front of a wooden box.,right hand,wooden box,right shoulder,neck,face,watch,right hand fingers,left hand,sky,tree
6,ADVZAZ12Z8N9J.csv,THIS IMAGE OF A WOMAN THAT IS STANDING ON A DIRT ROAD WITH A JACKET ON. sHE IS STRING INTENTLY AT THE CAMERA. ,JACKET,FENCE,SHOULDER,ZIPPER,FACE,WRIST,FINGERS,ROAD,SKY,ROAD7,A13FT8BNX9UUP8.csv,There is a person whose finger has ink on it. He/she is pressing into the block labeled \2\ to give their fingerprint.,right hand label,fingerprint,left hand label,part of finger,giving fingerprint,part of knucle,knucle,finger,,
7,A175PJR0W3LO8I.csv,close up photo of someone placing his or her inked fingerprints on a identification sheet,fingerprint sheet with RIGHT HAND type,fingerprint imprint,fingerprint sheet with LEFT HAND type,fingerprint sheet with 2 type,fingerprint sheet with 5 type,person's finger,person's finger,person's finger,,
7,A1HUUSCZ4I5SOP.csv,There is a fingerprint card with some fingerprints on it. There are some fingers pressing down on a finger on the card.,right hand label,fingerprint,left hand label,part of finger and fingerprint,part of fingers and fingerprint,part of fingers,knuckles,part of finger,,
7,A1S88VQY8G8CNC.csv,someone is submitting his fingerprints.  we see the form is he using; he is currently submitting his second print of his left hand.   we see parts of three of his fingers.,fingerprint form states \right hand.\,one of the person's finger prints.,part of the fingerprint form.,part of a finger, and a print.,a finger producing a finger print.,a finger on a finger print form.,two fingers.,a person's finger.,,
7,A2JLU8XYHVY2ZP.csv,someone is putting his thump impression,the word \right hand\,thump impression,the word \left hand\,portion of middle finger,putting impression,portion of middle and ring finger,middle finger,index finger,,
7,A3QMAS3KVQTPW0.csv,finger impression sheet with a person giving his impression,Space to provide Right hand impression,impression of the person's right hand,Space to provide left hand impression,impression of the person's left hand,impression of the person's left hand,impression sheet,left hand fingers,left hand fingers,,
7,A3UV55HC87DO9C.csv,An individual is in the process of getting his fingerprints taken. They are currently printing their left hand fingers.,right hand field,fingerprint,left hand field,left hand print 2,left hand print 2,closeup of hand,hand,hand,hand,hand
7,A3VOMP0WOJTB4I.csv,A person is giving finger impressions on a paper.,right hand,impression,left hand,number,fingers,hand,knuckles,index finger,,
7,AA7BTDZQNHW5.csv,A person is putting thumb impression in a sheet.,word,thumb impression,word,number,thumb impression,alphabet,middle finger,index finger,,
7,ADVZAZ12Z8N9J.csv,THIS IS A IMAGE OF A PERSON GETTING THEIR RIGHT HAND FINGERPRINTED. ,WORDS,FINGER PRINT,WORDS,NUMBER,FINGER,HAND,KNUCKLE,FINGER,N/A,N/A8,A13FT8BNX9UUP8.csv,There is a judge with black on and gavel in his hand. He is an old white man with gray hair and has a serious look on his face.,gavel,part of chair,part of door,part of stand,top of chair with shoulder,head,part of chest and stand,chest,shoulder,arm
8,A175PJR0W3LO8I.csv,an old judge wearing a red tie; seated in a courtroom with the gavel in his right hand.,gavel,judge's cloak,background wall,judge's cloak,background wall,judge's face,judge's desk,judge's tie,judge's shoulder,judge's arm
8,A1HUUSCZ4I5SOP.csv,Man wearing a judge's robe with a white collar and red tie. Man is sitting on a brown chair and is holding a gavel . There's a brown door behind him. He's sitting at a brown desk.,gavel,robe and part of chair,door,part of desk,part of robe and chair,face,part of robe, tie and desk,tie and part of robe,shoulder,part of arm
8,A1S88VQY8G8CNC.csv,a very serious looking male judge holds a gavel as he sits at the bench.  he is wearing a typical judge's outfit as well as a red tie.  he has gray hair; there is a brown door behind him.  he is looking straight ahead.,a gavel in mid air.,part of judge's jacket.,part of door.,part of the judge's bench.,part of judge's jacket.,judge's serious facial expression.,part of the judge's bench.,judge's red tie, part of his jacket.,top of judge's jacket.,sleeve of judge's jacket.
8,A2JLU8XYHVY2ZP.csv,The honorable justice wearing black coat and holding hammer. The justice is sitting in the leather covered cushion chair.,the hammer,the portion of chair,the portion of door,the portion of table,the justice's right shoulder,justice's face,the black coat ,the tie,the justice's left shoulder,the justice's left hand
8,A3QMAS3KVQTPW0.csv,a judge in the court,gavel,judge chair,court doors,judge table,judge left shoulder,judge ,judge dress,judge dress  ,judge dress covering right shoulder,judge gown
8,A3UV55HC87DO9C.csv,A judge is sitting in a courtroom. He has a very stern look on his face. He has the gavel in his hand and is ready for judgement. ,gavel,robe,door,robe,chair,face,robe,robe,shoulder,arm
8,A3VOMP0WOJTB4I.csv,A judge is listening to the case sitting on a chair.,wood,door,design,coat,face,tie,black,hand,neck,sleeve
8,AA7BTDZQNHW5.csv,A judge is holding a wooden hammer in his hand with coat and tie.,hammer,chair,wood,wood,right shoulder,man's face,tie,left chest,left shoulder,left hand
8,ADVZAZ12Z8N9J.csv,THIS IMAGE SHOWS A JUDGE SITTING ON THE BENCH ABOUT TO BANG HIS GAVEL. THE MALE JUDGE HAS A VERY NEUTRAL LOOK ON HIS FACE. ,GAVEL,ROBE,DOOR,ROBE,WOOD,FACE,ROBE,TIE,SHOULDER,ROBE9,A13FT8BNX9UUP8.csv,There is a man outside working; preparing food products. He is at a stand outside the store. The store has food products on display; stacked on shelves and meats hanging outside the store,shelf with food products,hanging meats,blue container with shelf with stacked with food items,scale,man preparing food,store display,,,,
9,A175PJR0W3LO8I.csv,a small but well stocked storefront of a shop in italy; with a forker standing in front preparing food.,storefront with canned food,storefront with hams hanging in doorway,storefront with bottles,storefront with a scale and jars of food,man cutting food at storefront,storefront window with hams hanging,,,,
9,A1HUUSCZ4I5SOP.csv,A man is standing outside a store front behind a wooden table. He is wearing a white apron and blue jeans with white sneakers. Thee are pieces of meat hanging from the front of the store. The store windows are full of jars and packages of food. There is a scale on a white table. Theres a blue bin next to the table.,packages of food,sign and meat hanging from ceiling,blue bin, towel, food packages, ,scale , jars of food,man, table,letters, meat, food packages,,,,
9,A1S88VQY8G8CNC.csv,a store worker is at a desk with many food items behind him.  a scale is visible as well as the part of street.  there are bottles; jars; and packages behind him.,food items,food items and store name,food items and a crate.,scale with food items.,employee working at a table.,various food items.,,,,
9,A2JLU8XYHVY2ZP.csv,The shop keeper in the village store is working,beverags,shop goods,bottles,the balance,the man is standing,shop name,,,,
9,A3QMAS3KVQTPW0.csv,a groccery shop with a person preparing for a order,items in the grocery shop,Shop name,shop items,weighing machine,person preparing the order,shop name with items displayed,,,,
9,A3UV55HC87DO9C.csv,A butcher is working outside of his shop. He is at the cutting board and making measurements of the product. His shop is in the background and is filled with products. ,products ,shop front,products,products ,butcher,shop,,,,
9,A3VOMP0WOJTB4I.csv,A person is standing in front of his shop. The shop is containing different food items.,shelf,food,tray,light,table,front,,,,
9,AA7BTDZQNHW5.csv,A man is wearing an apron and is standing in front of a shop.,rack,meat,boxes,weighing machine,man's body and face,meat,,,,
9,ADVZAZ12Z8N9J.csv,THIS IMAGE IS OF A STORE THAT SEEMS TO SELL SEVERAL HOME MADE ITEMS. A GENTLEMAN IS OUTSIE SEEMING TO BE A WORKER. HE IS WEARING A ROBE. THE WORKER SEEMS TO BE PREPARING SOME TYPE OF FOOD TO SEEL TO CONSUMERS. ,ITEMS,SIGN,GROCERIES,SCALE,WORKER,SIGN,N/A,N/A,N/A,N/A10,A13FT8BNX9UUP8.csv,There is a women in a pink top and bluejeans with a white purse pushing a shopping basket. The basket has a child sitting in it with a checkered red and whit top and blue jean shorts on.,shopping basket,parking lot with car,parking lot with truck,child's head,child's shirt,child's legs,woman's head,woman's arm,woman's butt,woman's elbow and purse
10,A175PJR0W3LO8I.csv,a brown haired caucasian woman wearing a pink shirt and jeans; carrying a white handbag; pushing an empty shopping cart in an almost empty parking lot of a shopping plaza; with a small child seated in the shopping cart wearing a red shirt and blue jean shorts.,shopping cart,parked car,parked truck,child's face,child's torso,child's legs,woman's face,woman's chest,woman's jeans,woman's arm and white purse
10,A1HUUSCZ4I5SOP.csv,A woman wearing a pink shirt with jeans is pushing a shopping cart with a toddler in it. She is carrying a white purse and wearing sunglasses. The toddler is wearing a red plaid shirt; denim shorts and red shoes. She is in a parking lot and there are cars parked around in the background.,front of shopping cart ,parking lot with car,parking lot with car,toddlers face, shoulder, arm and hand,part of arms, part of torso and knees,knees and legs,face and shoulder,arm, part of purse and chest,rear and part of purse,elbow, purse
10,A1S88VQY8G8CNC.csv,a woman wearing pink stands next to her young child; who is sitting in a shopping cart.  the woman has a white pocket book and is wearing blue jeans.  the child is looking at the camera.  this takes place in a parking lot.,shopping cart,parking lot,parking lot,child faces the camera,partial view of child in cart.,child's legs outside cart.,woman looks downward.,woman's arm.,woman's jeans.,woman's pocketbook.
10,A2JLU8XYHVY2ZP.csv,the woman with her baby is going for shopping. She holding her baby in the troly,the troly,the car ,the truck,baby's face,baby's legs,baby's body,woman's body,woman's body,woman's butt,woman's hand bag
10,A3QMAS3KVQTPW0.csv,Women with a kid on the shopping trolley on the road,shopping trolley,a car on the road,a road,a kid face,Kid's body,Kids legs,women face with shades on her face,left side view of the women ,jean pant of the women,A white hand bag
